Sr.No.,Manager,Entries,Ann_Ret,Ann_Vol,Sharpe_Ratio,Drawdown,Skewness,Kurtosis
50,MOTILAL OSWAL WEALTH MANAGEMENT LIMITED,31,0.41771125841183854,0.23935823658139455,1.3655392098686598,-0.17800000000000013,0.18550300434292705,5.673979126028093
51,WAY2WEALTH  BROKERS PRIVATE LTD.,31,-0.1405771860304338,0.23354777701167864,-0.8475631905020033,-0.46613222111221314,-0.9905246917533452,5.513558427172026
52,EMKAY INVESTMENT MANAGERS LIMITED,31,-0.048521765619621626,0.2274232412386295,-0.49034726680388413,-0.319786058938774,-1.670632192274255,8.561401985108061
53,ACEPRO ADVISORS PRIVATE LIMITED,31,-0.11406781570458413,0.24227935409224377,-0.7143405492077295,-0.418506736711081,-0.7876026977819793,5.302745829045309
54,IDBI CAPITAL MARKET SERVICES LTD,31,1.4817306757787776,0.06383747306826873,20.834611613819114,-0.012399999999999977,-3.910506426974234,21.069734911947847
55,Val-Q Investment Advisory Private Limited,31,-0.05608725743011733,0.23472725632515595,-0.5053669718830759,-0.31196096813416363,-1.1178857179179729,6.700721500341086
56,EQUITY INTELLIGENCE INDIA PVT. LTD.,31,-0.3128319446331166,0.3732515557515705,-0.9638036715811559,-0.7245845020643513,-0.590283094934721,4.771801928760919
57,TRIVANTAGE CAPITAL MANAGMENT INDIA PRIVATE LIMITED,31,-0.10610945009986217,0.2973313802433563,-0.5573113008602609,-0.35773956470498897,-1.454653435618859,6.728291331950239
58,ALTITUDE CAPITAL ADVISORS PRIVATE LIMITED,31,0.07002968683660726,0.41736178906045285,-0.0012087360848686327,-0.5690608087966824,-0.3052936278111664,3.960111410569564
59,TRUST INVESTMENT ADVISORS PVT. LTD.,31,-0.015536672451108346,0.20534313815439942,-0.3919752311888701,-0.3326937043985984,-0.3119866299496004,6.766420700566139
60,ALPHA CAPITAL ADVISORS PVT. LTD.,31,-0.0907234859343008,0.09537442638224325,-1.5834679657889243,-0.21856259961698749,-4.812951100420074,25.460747084756235
61,NEW BERRY CAPITALS PVT. LTD.,31,-0.29436555218663574,0.9150876476265591,-0.3753084571992867,-0.8582445542788368,1.2605053675582008,4.650885116465742
62,INFINITY ALTERNATIVES INVESTMENT MANAGERS PRIVATE LIMITED,31,-0.07604388877982293,0.2690153021190311,-0.5108123545916209,-0.40414661804250374,-1.1464138240392518,5.54296671595774
63,EDELWEISS ASSET MANAGEMENT LIMITED,31,0.05930802698634263,0.10562333808579945,-0.0954366035730678,-0.0955,-1.080128203190204,5.148573024022124
64,TRUSTLINE HOLDING PVT. LTD.,31,-0.03902682708256744,0.28508339085143986,-0.36021976677240186,-0.420625588312674,-1.3272133287155121,7.197159693623504
65,INVESCO ASSET MANAGEMENT (INDIA) PRIVATE LIMITED,31,0.030900498208191518,0.11776520215543161,-0.3123208371178752,-0.11328746556928065,0.593309611900294,3.504962353701917
66,ICICI PRUDENTIAL ASSET MANAGEMENT COMPANY LTD.,31,-0.02574813282319066,0.1969869670553801,-0.4573074526660035,-0.26874999999999993,-1.6622917374034283,8.66145917967531
67,ALLEGRO CAPITAL ADVISORS PVT LTD,31,0.028806454611792986,0.1728800831604045,-0.22443051388272528,-0.21675090000000014,-1.2000308374134834,7.1780991889778125
68,NEGEN CAPITAL SERVICES PRIVATE LIMITED,31,-0.1993855562354172,0.39326111985180634,-0.6444797788219427,-0.6133734536115458,-1.0036764426732894,6.742253096437162
69,UNIFI CAPITAL PRIVATE LIMITED,31,-0.024370050566753565,0.2853805513639186,-0.31157020513506056,-0.3663745479145093,-0.9075029881538137,6.791266247076997
70,EKLAVYA CAPITAL ADVISORS LLP,31,0.07070763122631907,0.07879495775582303,0.008220286964489839,-0.07700000000000004,-0.7326758012577661,8.154531471450927
71,ALFACCURATE ADVISORS PVT. LTD.,31,-0.05055964532460899,0.22928321148393552,-0.49471138775706486,-0.2987449015465466,-1.4495851368220605,7.3002752570806955
72,UTI ASSET MANAGEMENT COMPANY PVT LTD,31,3.2863269103953554,0.8831770039958561,3.433306695164266,-0.21100000000000008,2.5342021429435126,8.349216712938585
73,ALDER CAPITAL ADVISORS LLP,31,-0.015147011438421343,0.19285850147109776,-0.41540825838571716,-0.2171506000000001,-1.1736643137937488,5.468841148229165
74,TULSIAN PMS PRIVATE LIMITED,31,-0.2075501256092518,0.2682970140384262,-0.9722062792251895,-0.5349325085511805,-0.7783579517714264,4.830382579394321
75,IIFL WEALTH PORTFOLIO MANAGERS LIMITED,31,0.06622253246944676,0.11402872391772219,-0.03144634509875939,-0.1040763290111499,0.032224864349669084,6.211923341249328
76,JM FINANCIAL SERVICES  LTD,31,-0.024197093528773306,0.22210097790666475,-0.3991529132256823,-0.22753799999999996,-1.1091854007370021,5.288951210274615
77,SOLIDARITY ADVISORS PRIVATE LIMITED,31,0.05276908043147821,0.2648065329084004,-0.06202329289468455,-0.28200660000000005,-1.4014864048436364,8.34359633962885
78,QED CAPITAL ADVISORS LLP,31,-0.024746846287088453,0.07815132384902279,-1.1393739284370978,-0.09514123854152462,-0.06467801828255026,5.918486840118216
79,BONANZA PORTFOLIO LIMITED,31,-0.12555656469519427,0.201993798635258,-0.9099644279805096,-0.42556504578029125,-0.9113431037351136,4.651606235634473
80,CLUBMILLIONAIRE FINANCIAL SERVICES PRIVATE LIMITED,31,0.1510561952420888,0.25484517478201824,0.29819579983762645,-0.22123444800502792,-0.6039083218458263,4.19524690796716
81,SANCTUM WEALTH MANAGEMENT PRIVATE LIMITED,31,-0.0006775274977492973,0.18888016593562956,-0.3521772862913362,-0.21640159999999997,-1.3453590430256057,6.634401046106005
82,BNP PARIBAS ASSET MANAGEMENT INDIA PRIVATE LIMITED,31,-0.0629512809157795,0.20718039264557395,-0.6034962178850668,-0.2870205140829681,-1.1669705879223082,5.892910830392566
83,KOTAK MAHINDRA ASSET MANAGEMENT COMPANY LTD,31,-0.17731698490838954,0.28055974490178526,-0.8287477798247821,-0.516115899016105,-1.5955546901042486,7.538675810589913
84,SATCO CAPITAL MARKETS LTD,31,-0.012965691951090541,0.2549690557236206,-0.3065489812271704,-0.28181618753869386,-1.4540921267332676,7.14288650107024
85,BIRLA SUN LIFE ASSET MANAGEMENT COMPANY LIMITED,31,-0.08789532241667308,0.21262932944900964,-0.6982377593801886,-0.31379308787827226,-1.4176946586818773,6.636847622319144
86,FIVE RIVERS PORTFOLIO MANAGERS PRIVATE LIMITED,31,-0.10481270559544231,0.2295340368154017,-0.7160923305257892,-0.35948199413837695,-0.9431334647321756,6.956526259897515
87,SAVVY CAPITAL ADVISORS LLP,31,-0.12381107141994385,0.33039363325506726,-0.5519467453983324,-0.5430984308379061,-0.6567515694371849,5.238757031104089
88,KB CAPITAL MARKETS PVT. LTD.,31,-0.060777996804229795,0.2391968420710737,-0.5143469428784962,-0.3651266529439603,-0.829637832622148,5.823078581964902
89,SBI FUNDS MANAGEMENT PVT LTD,31,0.07832504352130476,0.03549674551188438,0.220333906838865,-0.02596509999999999,0.5076921167511144,5.5950234634210725
